KXMLBWINS-ATH	Pro baseball wins A's	Sports
KXNBAWINRECORD	OKC NBA Win Record	Sports
KXTENNISEXHIBITION	Tennis Exhibition Match	Sports
KXNBASTL	Pro Basketball Player Steals	Sports
KXSPORTSIGNPEREZ	Perez	Sports
KXNHLCALDER	NHL Calder Memorial Trophy	Sports
KXALEAGUEGAME	Australian A League Game	Sports
KXREBOOT	Reboot	Sports
KXSTARTINGQBWEEK1	NFL Starting QB Week 1	Sports
KXUCLFINALIST	UCL Advance to the Finals	Sports
KXFOODCONSUMEDSOURAJI	X	Sports
KXT20SIXES	Cricket Number of Sixes	Sports
KXNBA3PTCONTEST	NBA 3-Point Contest Winner	Sports
KXUEL16GALAZA	Europa League round of 16 - GAL AZA	Sports
KXLIVTOP10	Liv Top 10 Finisher	Sports
KXUCLADVANCE	Champions League Advance	Sports
KXNBA3QWINNER	NBA 3rd Quarter Winner	Sports
KXATPNEXTGEN	ATP Next Gen Finals	Sports
KXNFLFIRSTTDTIME	Pro Football First Touchdown Time	Sports
KXNBADRAFTCAT	Pro Basketball Draft Category	Sports
KXTOURDEFRANCE	Tour de France winner	Sports
KXNCAAMBGAME	Men's College Basketball Men's Game	Sports
KXNFLWINS-NE	Pro football wins New England	Sports
KXNFLWINS-ARI	Pro football wins Arizona	Sports
KXLIIGAGAME	Liiga Game	Sports
KXMANTISFREETHROW	MANTIS FREE THROWS	Sports
KXBUNDESLIGABTTS	Bundesliga BTTS	Sports
KXMLBWORLD	World Baseball Classic	Sports
KXCHESSTTLATE	Chess Titled Tuesday Late	Sports
KXATPGAMETOTAL	ATP Total Games	Sports
KXNHLHART	NHL Hart Memorial Trophy	Sports
KXNBAWEST1SEED	NBA Western Conference 1 Seed	Sports
KXBIG12REG	Big 12 Regular Season Champions	Sports
KXVALPLPHIL	Valorant Predator League Phillippines	Sports
KXWTAMIA	WTA Miami	Sports
KXNFL1QTOTAL	Pro Football 1st Quarter Total	Sports
KXPGATIGER	Tiger Woods PGA	Sports
KXATPWDDF	ATP Tour Dubai Duty Free	Sports
KXNBATOTAL	Pro Basketball Total Points	Sports
KXNFLDPOTY	AP Pro Football Defensive Player Of The Year	Sports
KXMARMADPTS	Men's March Madness Points	Sports
KXWO-HOCKEY	Winter Olympics Hockey	Sports
KXEPLGOAL	EPL Goalscorer	Sports
KXMLBALWEST	American League West Winner	Sports
KXNFLPLAYOFF	Pro Football Playoff Qualifiers	Sports
KXNFLWINS-CAR	Pro football wins Carolina	Sports
KXMLBSTATCOUNT	Pro Baseball Season Stat	Sports
KXNHLTOTAL	NHL Goal Total	Sports
KXNCAAMBIGEAST	Big East Men's basketball tournament	Sports
KXNFLDROY	NFL Defensive Rookie of the Year	Sports
KXWTAMATCH	WTA Tennis Match	Sports
KXNFLEXACTWINSNYJ	Pro football exact wins New York J	Sports
KXTTELITEGAME	TT Elite Series Table Tennis Game	Sports
KXNEXTTEAMCHRISPAUL	Next Team Chris Paul	Sports
KXNCAAMBBIG12	Big 12 Conference Tournament	Sports
KXTRUMPGOLF	Trump US gold championship	Sports
KXABAGAME	ABA League Game	Sports
KXMAKEMARMAD	Make March Madness Tournament	Sports
KXAOMENSINGLES	Argentina Open men's singles	Sports
KXMLBASGAME	Professional Baseball All-Star Game	Sports
KXNCAAMBBWEST	Big West Conference Tournament	Sports
KXNFLAFCCHAMP	American Football Conference Champion	Sports
KXATPTOTALSETS	ATP Total Sets	Sports
KXAFLGAME	AFL Game	Sports
KXVALORANTGAME	Valorant game winner	Sports
KXHOLEINONE	Golf Hole in One	Sports
KXNFLWINS-SEA	Pro football wins Seattle	Sports
KXIPLGAME	Indian Premier League Cricket Game	Sports
KXWBCMIDDLEWEIGHTTITLE	Boxing Middleweight Title	Sports
KX1STHOMEGAME	First Home Game Opponent	Sports
KXEPLBTTS	EPL Both Teams to Score	Sports
KXWOSKEL	Winter Olympics Skeleton	Sports
KXAUBCOACH	Auburn Next Coach	Sports
KXCHESSGAME	Freestyle Chess	Sports
KXPPLGAMES	PPL games	Sports
KXRANKLISTSUI	Sui top 10	Sports
KXNFLCOMEBACK	Pro Football Comeback	Sports
KXWOMHOCKEYGOAL	Olympic Hockey Goalscorer	Sports
KXNFLWINS-WAS	Pro football wins Washington	Sports
KXNASCARTOP10	NASCAR Top 10 Finishers	Sports
KXNBATEAM	NBA team	Sports
KXNFLWINS-LAC	Pro football wins Los Angeles C	Sports
KXDOTA2	Dota 2 Tournament Winner	Sports
KXACQUIREREALMADRID	Real Madrid acquire	Sports
KXDAVISCUPADVANCE	Davis Cup Advance	Sports
KXLEADERMLBWINS	MLB Wins Leader	Sports
KXWOFSKATE	Winter Olympics Figure Skating	Sports
KXF1RACEPODIUM	F1 Race Podium Finisher	Sports
KXEPLGAME	English Premier League Game	Sports
KXUFCROUNDS	UFC Total Rounds	Sports
KXNCAAMBMAA	Metro Atlantic Conference Tournament	Sports
KXLAVERCUP	Laver Cup	Sports
KXNFLCELEBRITYGAME	Pro Football Celebrity Flag Football Game	Sports
KXNCAAMIVYLEAGUE	Ivy League MEN'S BASKETBALL TOURNAMENT	Sports
KXSSHIELDMATCH	Sheffield Shield Match	Sports
KXNBAEAST1SEED	NBA Eastern Conference 1 Seed	Sports
KXNFLNFCSOUTH	National Football Conference South Winner	Sports
KXNASCARCUPSERIES	NASCAR Cup Series Champion	Sports
KXMLBNLEAST	National League East Winner	Sports
KXFOWOMEN	French Open Women's	Sports
KXALPHAARENABASE	Alpha Arena Baseline	Sports
KXUFAWEST	Ultimate Frisbee Association East Division Winner	Sports
KXNCAABBIG10	Big Ten Men's Basketball Tournament	Sports
KXKYLEMILETIME	Will Nelk's Kyle Forgeard first mile be completed in 8 minutes	Sports
KXNBAREB	Pro Basketball Player Rebounds	Sports
KXMLBALMVP	Pro Baseball American League MVP	Sports
KXNFLEXACTWINSPHI	Pro football exact wins Philadephia	Sports
KXBUNDESLIGA	BUNDESLIGA	Sports
KXWTAATX	WTA Tour ATX Open	Sports
KXNCAAFGAME	College Football Game	Sports
KXSAGRANDSLAM	Freestyle Chess Grand Slam Final	Sports
KXLALIGARELEGATION	La Liga Relegation	Sports
KXCS2GAMES	Cs2 Games	Sports
KXLEADERNFLSACKS	NFL Sacks Leader	Sports
KXNBASERIES	Professional Basketball Series	Sports
KXSWIFTATTEND	NFL Attendance Swift	Sports
KXMLBALEAST	American League East Winner	Sports
KXNFLEXACTWINSATL	Pro football exact wins Atlanta	Sports
KXNFL1YDPASS	Seattle 1 Yard Pass	Sports
KXMLBNLROTY	Pro Baseball National League Rookie of the Year	Sports
KXYTDAILYTOPVIDEO	DAILY TOP YOUTUBE VIDEO	Sports
KXCOUPEDEFRANCEADVANCE	Coupe de France To Advance	Sports
KXPHILIPRIVERSNFL	Philips Rivers Play This Year	Sports
KXBATTLEOFSEXESSET	Battle of the Sexes Set Winner	Sports
KXLOLGAMES	League of Legends Games	Sports
KXCLUBWCGH	Club World Club Group H	Sports
KXTEAMSINSB	Teams in Super Bowl	Sports
KXPGARYDERCUPD1	Ryder Cup Day 1 Winner	Sports
KXCHALLENGERMATCH	Challenger ATP 	Sports
KXNHLADAMS	NHL Jack Adams Award	Sports
KXEPLPOY	EPL Player Of The Year 	Sports
KXNFLEXACTWINSLA	Pro football exact wins Los Angeles R	Sports
KXNBAPACIFIC	NBA Pacific Division Winner	Sports
KXNFLEXACTWINSNE	Pro football exact wins New England	Sports
KXMLSSPREAD	MLS Spread	Sports
KXNFLGAME	Professional Football Game	Sports
KXNFLNFCWEST	National Football Conference West Winner	Sports
KXF1RACE	F1 Race	Sports
KXWCGAME	World Cup Game	Sports
KXNFLPASSYDS	Pro Football player Passing Yards	Sports
KXBBLGAME	Bundesliga Basketball Game	Sports
KXLEADERMLBHITS	MLB Hits Leader	Sports
KXNCAAMBAE	American East Conference Tournament	Sports
KXAACREG	AAC Regular Season Champions	Sports
KXCHARCOUNTLOLWORLDS	LOL worlds	Sports
KXFIBAECUPGAME	FIBA Europe Cup Game	Sports
KXDPWORLDTOUR	DP World Tour Tournament Winner	Sports
KXEWCDOTA2	Dota 2 at 2025 Esports World Cup	Sports
KXNFLCOTY	AP Pro Football Coach Of The Year	Sports
KXNCAAFCUSA	Conference USA Champion	Sports
KXNCAAMBSUN	Atlantic Sun Conference Tournament	Sports
KXNBADRAFTTOP30	NBA Draft Top 30 Pick	Sports
KXNASCARAUTOPARTSSERIES	NASCAR Auto Parts Series Champion	Sports
KXLEADERNFLPTDS	NFL leader passing TDs	Sports
KXNFLLONGESTTD	Pro Football Longest Touchdown	Sports
KXUCLWGAME	Champions League Women's Game	Sports
KXRANKLISTBONK	Bonk top 100 currencies by end of year	Sports
KXNBA2QWINNER	NBA 2nd Quarter Winner	Sports
KXNFLEXACTWINSCLE	Pro football exact wins Cleveland	Sports
KXNBADRAFTTOP20	NBA Draft Top 20 Pick	Sports
KXSPORTSIGNLBJ	LeBron James sign	Sports
KXNBADRAFT1	NBA Draft First Pick	Sports
KXLPGATOUR	PGA Tour	Sports
KXWNBASERIES	Professional Women's Basketball Series	Sports
KXTEAMSINSC	Teams in Stanley Cup	Sports
KXPGACURRY	Steph Curry PGA	Sports
KXNFCAFCSB	AFC NFC SB	Sports
KXMIDSEASONINVITATIONALB	2025 Mid-Season Invitational	Sports
KXIPL	IPL Winner	Sports
KXNBAFINALSVIEWER	NBA finals viewership	Sports
KXTULNCOACH	Tulane Next Coach	Sports
KXLAMINEYAMAL	Lamine Yamal	Sports
KXALEAGUESPREAD	Australian A League Spread	Sports
KXEGYPLGAME	Egyptian Premier League Game	Sports
KXNASCARRACEOLD	NASCAR Race winner	Sports
KXSTARTNO	NEW ORLEANS WEEK 1 QB	Sports
KXMLBWINS-COL	Pro baseball wins Colorado	Sports
KXVALORANTMASTERSFINALS	Who will win the VALORANT Masters Finals	Sports
KXAFC	AFC Championship	Sports
KXNBA4QSPREAD	Pro Basketball 4th Quarter Spread	Sports
KXNFLPASSTDS	Pro Football player Passing Touchdowns	Sports
KXFACUP	FA cup	Sports
KXNHLAST	Pro Hockey Assists	Sports
KXNCAAMBACHAMP	College Baseball Championship	Sports
KXNFLGAMETD	Pro Football Touchdowns	Sports
KXBOXING	Boxing Match Champion	Sports
KXNBACENTRAL	NBA Central Division Winner	Sports
KXCOPPAITALIAADVANCE	Coppa Italia To Advance	Sports
KXPSUCOACH	Penn State Next Coach	Sports
KXUFA	Ultimate Frisbee Association Champion	Sports
KXNFLWINS-JAC	Pro football wins Jacksonville	Sports
KXNFLANYTD	Pro Football Anytime Touchdown	Sports
KXMLBNLCENT	National League Central Winner	Sports
KXNCAAFCONF	NCAAF Championship Conference	Sports
KXNCAAFBSEC	SEC Champion	Sports
KXPGA	PGA Championship	Sports
KXSOCCERPLAYCRON	Cristiano Ronaldo world cup	Sports
